id	form	gloss	pos	root	root_gloss	deriv	morphemes
TIM-011.cika	tauncika	little 'year'; small/dear 'year'	noun	taun	year	diminutive	taun+ci+ka
TIM-011.goka	taungoka	big 'year'; great 'year'	noun	taun	year	augmentative	taun+go+ka
TIM-011.deka	taundeka	place of/for 'year'	noun	taun	year	place	taun+de+ka
PHY-001.ka	taioka	sun	noun	taio	sun	noun	taio+ka
PHY-001.pe	taiope	of/like 'sun'; 'sun'-related	modifier	taio	sun	modifier	taio+pe
PHY-001.to	taioto	to use/apply 'sun'; to act as 'sun'	verb	taio	sun	verb	taio+to
PHY-001.cika	taiocika	little 'sun'; small/dear 'sun'	noun	taio	sun	diminutive	taio+ci+ka
PHY-001.goka	taiogoka	big 'sun'; great 'sun'	noun	taio	sun	augmentative	taio+go+ka
PHY-001.deka	taiodeka	place of/for 'sun'	noun	taio	sun	place	taio+de+ka
PHY-002.ka	bulanka	moon	noun	bulan	moon	noun	bulan+ka
PHY-002.pe	bulanpe	of/like 'moon'; 'moon'-related	modifier	bulan	moon	modifier	bulan+pe
PHY-002.to	bulanto	to use/apply 'moon'; to act as 'moon'	verb	bulan	moon	verb	bulan+to
PHY-002.cika	bulancika	little 'moon'; small/dear 'moon'	noun	bulan	moon	diminutive	bulan+ci+ka
PHY-002.goka	bulangoka	big 'moon'; great 'moon'	noun	bulan	moon	augmentative	bulan+go+ka
PHY-002.deka	bulandeka	place of/for 'moon'	noun	bulan	moon	place	bulan+de+ka
PHY-003.ka	hosika	star	noun	hosi	star	noun	hosi+ka
PHY-003.pe	hosipe	of/like 'star'; 'star'-related	modifier	hosi	star	modifier	hosi+pe
PHY-003.cika	hosicika	little 'star'; small/dear 'star'	noun	hosi	star	diminutive	hosi+ci+ka
PHY-003.goka	hosigoka	big 'star'; great 'star'	noun	hosi	star	augmentative	hosi+go+ka
PHY-003.deka	hosideka	place of/for 'star'	noun	hosi	star	place	hosi+de+ka
PHY-005.ka	tanaka	ground / earth	noun	tana	ground / earth	noun	tana+ka
PHY-005.pe	tanape	of/like 'ground / earth'; 'ground / earth'-related	modifier	tana	ground / earth	modifier	tana+pe
PHY-005.to	tanato	to use/apply 'ground / earth'; to act as 'ground / earth'	verb	tana	ground / earth	verb	tana+to
PHY-005.cika	tanacika	little 'ground / earth'; small/dear 'ground / earth'	noun	tana	ground / earth	diminutive	tana+ci+ka
PHY-005.goka	tanagoka	big 'ground / earth'; great 'ground / earth'	noun	tana	ground / earth	augmentative	tana+go+ka
PHY-005.deka	tanadeka	place of/for 'ground / earth'	noun	tana	ground / earth	place	tana+de+ka
PHY-008.ka	panika	water	noun	pani	water	noun	pani+ka
PHY-008.pe	panipe	of/like 'water'; 'water'-related	modifier	pani	water	modifier	pani+pe
PHY-008.to	panito	to use/apply 'water'; to act as 'water'	verb	pani	water	verb	pani+to
PHY-008.cika	panicika	little 'water'; small/dear 'water'	noun	pani	water	diminutive	pani+ci+ka
PHY-008.goka	panigoka	big 'water'; great 'water'	noun	pani	water	augmentative	pani+go+ka
PHY-008.deka	panideka	place of/for 'water'	noun	pani	water	place	pani+de+ka
PHY-009.ka	umika	sea	noun	umi	sea	noun	umi+ka
PHY-009.pe	umipe	of/like 'sea'; 'sea'-related	modifier	umi	sea	modifier	umi+pe
PHY-009.to	umito	to use/apply 'sea'; to act as 'sea'	verb	umi	sea	verb	umi+to
PHY-009.cika	umicika	little 'sea'; small/dear 'sea'	noun	umi	sea	diminutive	umi+ci+ka
PHY-009.goka	umigoka	big 'sea'; great 'sea'	noun	umi	sea	augmentative	umi+go+ka
PHY-009.deka	umideka	place of/for 'sea'	noun	umi	sea	place	umi+de+ka
PHY-012.ka	yamaka	mountain	noun	yama	mountain	noun	yama+ka
PHY-012.pe	yamape	of/like 'mountain'; 'mountain'-related	modifier	yama	mountain	modifier	yama+pe
PHY-012.to	yamato	to use/apply 'mountain'; to act as 'mountain'	verb	yama	mountain	verb	yama+to
PHY-012.cika	yamacika	little 'mountain'; small/dear 'mountain'	noun	yama	mountain	diminutive	yama+ci+ka
PHY-012.goka	yamagoka	big 'mountain'; great 'mountain'	noun	yama	mountain	augmentative	yama+go+ka
PHY-012.deka	yamadeka	place of/for 'mountain'	noun	yama	mountain	place	yama+de+ka
PHY-013.pe	batupe	of/like 'stone / rock'; 'stone / rock'-related	modifier	batu	stone / rock	modifier	batu+pe
PHY-013.to	batuto	to use/apply 'stone / rock'; to act as 'stone / rock'	verb	batu	stone / rock	verb	batu+to
PHY-013.cika	batucika	little 'stone / rock'; small/dear 'stone / rock'	noun	batu	stone / rock	diminutive	batu+ci+ka
PHY-013.goka	batugoka	big 'stone / rock'; great 'stone / rock'	noun	batu	stone / rock	augmentative	batu+go+ka
PHY-013.deka	batudeka	place of/for 'stone / rock'	noun	batu	stone / rock	place	batu+de+ka
PHY-014.ka	sunaka	sand	noun	suna	sand	noun	suna+ka
PHY-014.pe	sunape	of/like 'sand'; 'sand'-related	modifier	suna	sand	modifier	suna+pe
PHY-014.to	sunato	to use/apply 'sand'; to act as 'sand'	verb	suna	sand	verb	suna+to
PHY-014.cika	sunacika	little 'sand'; small/dear 'sand'	noun	suna	sand	diminutive	suna+ci+ka
PHY-014.goka	sunagoka	big 'sand'; great 'sand'	noun	suna	sand	augmentative	suna+go+ka
PHY-014.deka	sunadeka	place of/for 'sand'	noun	suna	sand	place	suna+de+ka
PHY-017.ka	motoka	fire	noun	moto	fire	noun	moto+ka
PHY-017.pe	motope	of/like 'fire'; 'fire'-related	modifier	moto	fire	modifier	moto+pe
PHY-017.to	mototo	to use/apply 'fire'; to act as 'fire'	verb	moto	fire	verb	moto+to
PHY-017.cika	motocika	little 'fire'; small/dear 'fire'	noun	moto	fire	diminutive	moto+ci+ka
PHY-017.goka	motogoka	big 'fire'; great 'fire'	noun	moto	fire	augmentative	moto+go+ka
PHY-017.deka	motodeka	place of/for 'fire'	noun	moto	fire	place	moto+de+ka
PHY-018.ka	mosika	smoke	noun	mosi	smoke	noun	mosi+ka
PHY-018.pe	mosipe	of/like 'smoke'; 'smoke'-related	modifier	mosi	smoke	modifier	mosi+pe
PHY-018.to	mosito	to use/apply 'smoke'; to act as 'smoke'	verb	mosi	smoke	verb	mosi+to
PHY-018.cika	mosicika	little 'smoke'; small/dear 'smoke'	noun	mosi	smoke	diminutive	mosi+ci+ka
PHY-018.goka	mosigoka	big 'smoke'; great 'smoke'	noun	mosi	smoke	augmentative	mosi+go+ka
PHY-018.deka	mosideka	place of/for 'smoke'	noun	mosi	smoke	place	mosi+de+ka
PHY-020.ka	anginka	wind	noun	angin	wind	noun	angin+ka
PHY-020.pe	anginpe	of/like 'wind'; 'wind'-related	modifier	angin	wind	modifier	angin+pe
PHY-020.to	anginto	to use/apply 'wind'; to act as 'wind'	verb	angin	wind	verb	angin+to
PHY-020.cika	angincika	little 'wind'; small/dear 'wind'	noun	angin	wind	diminutive	angin+ci+ka
PHY-020.goka	angingoka	big 'wind'; great 'wind'	noun	angin	wind	augmentative	angin+go+ka
PHY-020.deka	angindeka	place of/for 'wind'	noun	angin	wind	place	angin+de+ka
PHY-022.ka	ameka	rain	noun	ame	rain	noun	ame+ka
PHY-022.pe	amepe	of/like 'rain'; 'rain'-related	modifier	ame	rain	modifier	ame+pe
PHY-022.to	ameto	to use/apply 'rain'; to act as 'rain'	verb	ame	rain	verb	ame+to
PHY-022.cika	amecika	little 'rain'; small/dear 'rain'	noun	ame	rain	diminutive	ame+ci+ka
PHY-022.goka	amegoka	big 'rain'; great 'rain'	noun	ame	rain	augmentative	ame+go+ka
PHY-022.deka	amedeka	place of/for 'rain'	noun	ame	rain	place	ame+de+ka
PHY-023.ka	awanka	cloud	noun	awan	cloud	noun	awan+ka
PHY-023.pe	awanpe	of/like 'cloud'; 'cloud'-related	modifier	awan	cloud	modifier	awan+pe
PHY-023.to	awanto	to use/apply 'cloud'; to act as 'cloud'	verb	awan	cloud	verb	awan+to
PHY-023.cika	awancika	little 'cloud'; small/dear 'cloud'	noun	awan	cloud	diminutive	awan+ci+ka
PHY-023.goka	awangoka	big 'cloud'; great 'cloud'	noun	awan	cloud	augmentative	awan+go+ka
PHY-023.deka	awandeka	place of/for 'cloud'	noun	awan	cloud	place	awan+de+ka
PROP-001.pe	gandepe	big	modifier	gande	big	modifier	gande+pe
PROP-001.ka	gandeka	'big'-ness; the quality 'big'	noun	gande	big	noun	gande+ka
PROP-001.paka	gandepaka	'big'-ness; state of being 'big'	noun	gande	big	quality	gande+pa+ka
PROP-001.kupe	gandekupe	opposite of 'big'; un-'big'	modifier	gande	big	opposite	gande+ku+pe
PROP-001.tato	gandetato	to make 'big'	verb	gande	big	causative	gande+ta+to
PROP-001.pito	gandepito	to become 'big'	verb	gande	big	inchoative	gande+pi+to
PROP-001.gope	gandegope	very 'big'; intensely 'big'	modifier	gande	big	augmentative	gande+go+pe
PROP-001.cipe	gandecipe	'big'-ish; somewhat 'big'	modifier	gande	big	diminutive	gande+ci+pe
PROP-001.kupaka	gandekupaka	un-'big'-ness; the quality of being not 'big'	noun	gande	big	opposite-quality	gande+ku+pa+ka
PROP-001.takika	gandetakika	one who makes things 'big'	noun	gande	big	causative-agent	gande+ta+ki+ka
PROP-002.pe	pikope	small	modifier	piko	small	modifier	piko+pe
PROP-002.ka	pikoka	'small'-ness; the quality 'small'	noun	piko	small	noun	piko+ka
PROP-002.paka	pikopaka	'small'-ness; state of being 'small'	noun	piko	small	quality	piko+pa+ka
PROP-002.kupe	pikokupe	opposite of 'small'; un-'small'	modifier	piko	small	opposite	piko+ku+pe
PROP-002.tato	pikotato	to make 'small'	verb	piko	small	causative	piko+ta+to
PROP-002.pito	pikopito	to become 'small'	verb	piko	small	inchoative	piko+pi+to
PROP-002.gope	pikogope	very 'small'; intensely 'small'	modifier	piko	small	augmentative	piko+go+pe
PROP-002.cipe	pikocipe	'small'-ish; somewhat 'small'	modifier	piko	small	diminutive	piko+ci+pe
PROP-002.kupaka	pikokupaka	un-'small'-ness; the quality of being not 'small'	noun	piko	small	opposite-quality	piko+ku+pa+ka
PROP-002.takika	pikotakika	one who makes things 'small'	noun	piko	small	causative-agent	piko+ta+ki+ka
PROP-003.pe	nagaipe	long	modifier	nagai	long	modifier	nagai+pe
PROP-003.ka	nagaika	'long'-ness; the quality 'long'	noun	nagai	long	noun	nagai+ka
PROP-003.paka	nagaipaka	'long'-ness; state of being 'long'	noun	nagai	long	quality	nagai+pa+ka
PROP-003.kupe	nagaikupe	opposite of 'long'; un-'long'	modifier	nagai	long	opposite	nagai+ku+pe
PROP-003.tato	nagaitato	to make 'long'	verb	nagai	long	causative	nagai+ta+to
PROP-003.pito	nagaipito	to become 'long'	verb	nagai	long	inchoative	nagai+pi+to
PROP-003.gope	nagaigope	very 'long'; intensely 'long'	modifier	nagai	long	augmentative	nagai+go+pe
PROP-003.cipe	nagaicipe	'long'-ish; somewhat 'long'	modifier	nagai	long	diminutive	nagai+ci+pe
PROP-003.kupaka	nagaikupaka	un-'long'-ness; the quality of being not 'long'	noun	nagai	long	opposite-quality	nagai+ku+pa+ka
PROP-003.takika	nagaitakika	one who makes things 'long'	noun	nagai	long	causative-agent	nagai+ta+ki+ka
PROP-011.pe	panape	hot	modifier	pana	hot	modifier	pana+pe
PROP-011.ka	panaka	'hot'-ness; the quality 'hot'	noun	pana	hot	noun	pana+ka
PROP-011.paka	panapaka	'hot'-ness; state of being 'hot'	noun	pana	hot	quality	pana+pa+ka
PROP-011.kupe	panakupe	opposite of 'hot'; un-'hot'	modifier	pana	hot	opposite	pana+ku+pe
PROP-011.tato	panatato	to make 'hot'	verb	pana	hot	causative	pana+ta+to
PROP-011.pito	panapito	to become 'hot'	verb	pana	hot	inchoative	pana+pi+to
PROP-011.gope	panagope	very 'hot'; intensely 'hot'	modifier	pana	hot	augmentative	pana+go+pe
PROP-011.cipe	panacipe	'hot'-ish; somewhat 'hot'	modifier	pana	hot	diminutive	pana+ci+pe
PROP-011.kupaka	panakupaka	un-'hot'-ness; the quality of being not 'hot'	noun	pana	hot	opposite-quality	pana+ku+pa+ka
PROP-011.takika	panatakika	one who makes things 'hot'	noun	pana	hot	causative-agent	pana+ta+ki+ka
PROP-012.pe	holope	cold	modifier	holo	cold	modifier	holo+pe
PROP-012.ka	holoka	'cold'-ness; the quality 'cold'	noun	holo	cold	noun	holo+ka
PROP-012.paka	holopaka	'cold'-ness; state of being 'cold'	noun	holo	cold	quality	holo+pa+ka
PROP-012.kupe	holokupe	opposite of 'cold'; un-'cold'	modifier	holo	cold	opposite	holo+ku+pe
PROP-012.tato	holotato	to make 'cold'	verb	holo	cold	causative	holo+ta+to
PROP-012.pito	holopito	to become 'cold'	verb	holo	cold	inchoative	holo+pi+to
PROP-012.gope	hologope	very 'cold'; intensely 'cold'	modifier	holo	cold	augmentative	holo+go+pe
PROP-012.cipe	holocipe	'cold'-ish; somewhat 'cold'	modifier	holo	cold	diminutive	holo+ci+pe
PROP-012.kupaka	holokupaka	un-'cold'-ness; the quality of being not 'cold'	noun	holo	cold	opposite-quality	holo+ku+pa+ka
PROP-012.takika	holotakika	one who makes things 'cold'	noun	holo	cold	causative-agent	holo+ta+ki+ka
PROP-014.pe	nayape	new	modifier	naya	new	modifier	naya+pe
PROP-014.ka	nayaka	'new'-ness; the quality 'new'	noun	naya	new	noun	naya+ka
PROP-014.paka	nayapaka	'new'-ness; state of being 'new'	noun	naya	new	quality	naya+pa+ka
PROP-014.kupe	nayakupe	opposite of 'new'; un-'new'	modifier	naya	new	opposite	naya+ku+pe
PROP-014.tato	nayatato	to make 'new'	verb	naya	new	causative	naya+ta+to
PROP-014.pito	nayapito	to become 'new'	verb	naya	new	inchoative	naya+pi+to
PROP-014.gope	nayagope	very 'new'; intensely 'new'	modifier	naya	new	augmentative	naya+go+pe
PROP-014.cipe	nayacipe	'new'-ish; somewhat 'new'	modifier	naya	new	diminutive	naya+ci+pe
PROP-014.kupaka	nayakupaka	un-'new'-ness; the quality of being not 'new'	noun	naya	new	opposite-quality	naya+ku+pa+ka
PROP-014.takika	nayatakika	one who makes things 'new'	noun	naya	new	causative-agent	naya+ta+ki+ka
PROP-015.pe	tuape	old (of things)	modifier	tua	old (of things)	modifier	tua+pe
PROP-015.ka	tuaka	'old (of things)'-ness; the quality 'old (of things)'	noun	tua	old (of things)	noun	tua+ka
PROP-015.paka	tuapaka	'old (of things)'-ness; state of being 'old (of things)'	noun	tua	old (of things)	quality	tua+pa+ka
PROP-015.kupe	tuakupe	opposite of 'old (of things)'; un-'old (of things)'	modifier	tua	old (of things)	opposite	tua+ku+pe
PROP-015.tato	tuatato	to make 'old (of things)'	verb	tua	old (of things)	causative	tua+ta+to
PROP-015.pito	tuapito	to become 'old (of things)'	verb	tua	old (of things)	inchoative	tua+pi+to
PROP-015.gope	tuagope	very 'old (of things)'; intensely 'old (of things)'	modifier	tua	old (of things)	augmentative	tua+go+pe
PROP-015.cipe	tuacipe	'old (of things)'-ish; somewhat 'old (of things)'	modifier	tua	old (of things)	diminutive	tua+ci+pe
PROP-015.kupaka	tuakupaka	un-'old (of things)'-ness; the quality of being not 'old (of things)'	noun	tua	old (of things)	opposite-quality	tua+ku+pa+ka
PROP-015.takika	tuatakika	one who makes things 'old (of things)'	noun	tua	old (of things)	causative-agent	tua+ta+ki+ka
PROP-017.pe	haope	good	modifier	hao	good	modifier	hao+pe
PROP-017.ka	haoka	'good'-ness; the quality 'good'	noun	hao	good	noun	hao+ka
PROP-017.paka	haopaka	'good'-ness; state of being 'good'	noun	hao	good	quality	hao+pa+ka
PROP-017.kupe	haokupe	opposite of 'good'; un-'good'	modifier	hao	good	opposite	hao+ku+pe
PROP-017.tato	haotato	to make 'good'	verb	hao	good	causative	hao+ta+to
PROP-017.pito	haopito	to become 'good'	verb	hao	good	inchoative	hao+pi+to
PROP-017.gope	haogope	very 'good'; intensely 'good'	modifier	hao	good	augmentative	hao+go+pe
PROP-017.cipe	haocipe	'good'-ish; somewhat 'good'	modifier	hao	good	diminutive	hao+ci+pe
PROP-017.kupaka	haokupaka	un-'good'-ness; the quality of being not 'good'	noun	hao	good	opposite-quality	hao+ku+pa+ka
PROP-017.takika	haotakika	one who makes things 'good'	noun	hao	good	causative-agent	hao+ta+ki+ka
PROP-018.pe	bayape	bad	modifier	baya	bad	modifier	baya+pe
PROP-018.ka	bayaka	'bad'-ness; the quality 'bad'	noun	baya	bad	noun	baya+ka
PROP-018.paka	bayapaka	'bad'-ness; state of being 'bad'	noun	baya	bad	quality	baya+pa+ka
PROP-018.kupe	bayakupe	opposite of 'bad'; un-'bad'	modifier	baya	bad	opposite	baya+ku+pe
PROP-018.tato	bayatato	to make 'bad'	verb	baya	bad	causative	baya+ta+to
PROP-018.pito	bayapito	to become 'bad'	verb	baya	bad	inchoative	baya+pi+to
PROP-018.gope	bayagope	very 'bad'; intensely 'bad'	modifier	baya	bad	augmentative	baya+go+pe
PROP-018.cipe	bayacipe	'bad'-ish; somewhat 'bad'	modifier	baya	bad	diminutive	baya+ci+pe
PROP-018.kupaka	bayakupaka	un-'bad'-ness; the quality of being not 'bad'	noun	baya	bad	opposite-quality	baya+ku+pa+ka
PROP-018.takika	bayatakika	one who makes things 'bad'	noun	baya	bad	causative-agent	baya+ta+ki+ka
PROP-019.pe	penupe	full	modifier	penu	full	modifier	penu+pe
PROP-019.ka	penuka	'full'-ness; the quality 'full'	noun	penu	full	noun	penu+ka
PROP-019.paka	penupaka	'full'-ness; state of being 'full'	noun	penu	full	quality	penu+pa+ka
PROP-019.kupe	penukupe	opposite of 'full'; un-'full'	modifier	penu	full	opposite	penu+ku+pe
PROP-019.tato	penutato	to make 'full'	verb	penu	full	causative	penu+ta+to
PROP-019.pito	penupito	to become 'full'	verb	penu	full	inchoative	penu+pi+to
PROP-019.gope	penugope	very 'full'; intensely 'full'	modifier	penu	full	augmentative	penu+go+pe
PROP-019.cipe	penucipe	'full'-ish; somewhat 'full'	modifier	penu	full	diminutive	penu+ci+pe
PROP-019.kupaka	penukupaka	un-'full'-ness; the quality of being not 'full'	noun	penu	full	opposite-quality	penu+ku+pa+ka
PROP-019.takika	penutakika	one who makes things 'full'	noun	penu	full	causative-agent	penu+ta+ki+ka
PROP-024.pe	kawupe	dry	modifier	kawu	dry	modifier	kawu+pe
PROP-024.ka	kawuka	'dry'-ness; the quality 'dry'	noun	kawu	dry	noun	kawu+ka
PROP-024.paka	kawupaka	'dry'-ness; state of being 'dry'	noun	kawu	dry	quality	kawu+pa+ka
PROP-024.kupe	kawukupe	opposite of 'dry'; un-'dry'	modifier	kawu	dry	opposite	kawu+ku+pe
PROP-024.tato	kawutato	to make 'dry'	verb	kawu	dry	causative	kawu+ta+to
PROP-024.pito	kawupito	to become 'dry'	verb	kawu	dry	inchoative	kawu+pi+to
PROP-024.gope	kawugope	very 'dry'; intensely 'dry'	modifier	kawu	dry	augmentative	kawu+go+pe
PROP-024.cipe	kawucipe	'dry'-ish; somewhat 'dry'	modifier	kawu	dry	diminutive	kawu+ci+pe
PROP-024.kupaka	kawukupaka	un-'dry'-ness; the quality of being not 'dry'	noun	kawu	dry	opposite-quality	kawu+ku+pa+ka
PROP-024.takika	kawutakika	one who makes things 'dry'	noun	kawu	dry	causative-agent	kawu+ta+ki+ka
PROP-036.pe	toipe	far	modifier	toi	far	modifier	toi+pe
PROP-036.ka	toika	'far'-ness; the quality 'far'	noun	toi	far	noun	toi+ka
PROP-036.paka	toipaka	'far'-ness; state of being 'far'	noun	toi	far	quality	toi+pa+ka
PROP-036.kupe	toikupe	opposite of 'far'; un-'far'	modifier	toi	far	opposite	toi+ku+pe
PROP-036.tato	toitato	to make 'far'	verb	toi	far	causative	toi+ta+to
PROP-036.pito	toipito	to become 'far'	verb	toi	far	inchoative	toi+pi+to
PROP-036.gope	toigope	very 'far'; intensely 'far'	modifier	toi	far	augmentative	toi+go+pe
PROP-036.cipe	toicipe	'far'-ish; somewhat 'far'	modifier	toi	far	diminutive	toi+ci+pe
PROP-036.kupaka	toikupaka	un-'far'-ness; the quality of being not 'far'	noun	toi	far	opposite-quality	toi+ku+pa+ka
PROP-036.takika	toitakika	one who makes things 'far'	noun	toi	far	causative-agent	toi+ta+ki+ka
PROP-037.pe	cikaipe	near	modifier	cikai	near	modifier	cikai+pe
PROP-037.ka	cikaika	'near'-ness; the quality 'near'	noun	cikai	near	noun	cikai+ka
PROP-037.paka	cikaipaka	'near'-ness; state of being 'near'	noun	cikai	near	quality	cikai+pa+ka
PROP-037.kupe	cikaikupe	opposite of 'near'; un-'near'	modifier	cikai	near	opposite	cikai+ku+pe
PROP-037.tato	cikaitato	to make 'near'	verb	cikai	near	causative	cikai+ta+to
PROP-037.pito	cikaipito	to become 'near'	verb	cikai	near	inchoative	cikai+pi+to
PROP-037.gope	cikaigope	very 'near'; intensely 'near'	modifier	cikai	near	augmentative	cikai+go+pe
PROP-037.cipe	cikaicipe	'near'-ish; somewhat 'near'	modifier	cikai	near	diminutive	cikai+ci+pe
PROP-037.kupaka	cikaikupaka	un-'near'-ness; the quality of being not 'near'	noun	cikai	near	opposite-quality	cikai+ku+pa+ka
PROP-037.takika	cikaitakika	one who makes things 'near'	noun	cikai	near	causative-agent	cikai+ta+ki+ka
PROP-045.pe	samape	same	modifier	sama	same	modifier	sama+pe
PROP-045.ka	samaka	'same'-ness; the quality 'same'	noun	sama	same	noun	sama+ka
PROP-045.paka	samapaka	'same'-ness; state of being 'same'	noun	sama	same	quality	sama+pa+ka
PROP-045.kupe	samakupe	opposite of 'same'; un-'same'	modifier	sama	same	opposite	sama+ku+pe
PROP-045.tato	samatato	to make 'same'	verb	sama	same	causative	sama+ta+to
PROP-045.pito	samapito	to become 'same'	verb	sama	same	inchoative	sama+pi+to
PROP-045.gope	samagope	very 'same'; intensely 'same'	modifier	sama	same	augmentative	sama+go+pe
PROP-045.cipe	samacipe	'same'-ish; somewhat 'same'	modifier	sama	same	diminutive	sama+ci+pe
PROP-045.kupaka	samakupaka	un-'same'-ness; the quality of being not 'same'	noun	sama	same	opposite-quality	sama+ku+pa+ka
PROP-045.takika	samatakika	one who makes things 'same'	noun	sama	same	causative-agent	sama+ta+ki+ka
PROP-046.pe	bedape	different	modifier	beda	different	modifier	beda+pe
PROP-046.ka	bedaka	'different'-ness; the quality 'different'	noun	beda	different	noun	beda+ka
PROP-046.paka	bedapaka	'different'-ness; state of being 'different'	noun	beda	different	quality	beda+pa+ka
PROP-046.kupe	bedakupe	opposite of 'different'; un-'different'	modifier	beda	different	opposite	beda+ku+pe
PROP-046.tato	bedatato	to make 'different'	verb	beda	different	causative	beda+ta+to
PROP-046.pito	bedapito	to become 'different'	verb	beda	different	inchoative	beda+pi+to
PROP-046.gope	bedagope	very 'different'; intensely 'different'	modifier	beda	different	augmentative	beda+go+pe
PROP-046.cipe	bedacipe	'different'-ish; somewhat 'different'	modifier	beda	different	diminutive	beda+ci+pe
PROP-046.kupaka	bedakupaka	un-'different'-ness; the quality of being not 'different'	noun	beda	different	opposite-quality	beda+ku+pa+ka
PROP-046.takika	bedatakika	one who makes things 'different'	noun	beda	different	causative-agent	beda+ta+ki+ka
PROP-047.pe	hitape	black	modifier	hita	black	modifier	hita+pe
PROP-047.ka	hitaka	'black'-ness; the quality 'black'	noun	hita	black	noun	hita+ka
PROP-047.paka	hitapaka	'black'-ness; state of being 'black'	noun	hita	black	quality	hita+pa+ka
PROP-047.kupe	hitakupe	opposite of 'black'; un-'black'	modifier	hita	black	opposite	hita+ku+pe
PROP-047.tato	hitatato	to make 'black'	verb	hita	black	causative	hita+ta+to
PROP-047.pito	hitapito	to become 'black'	verb	hita	black	inchoative	hita+pi+to
